"No.","Time","Source","Destination","Protocol","Length","Info"
"7583","1366.989267750","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.65? Tell 192.168.43.100"
"7584","1366.990174828","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.192? Tell 192.168.43.100"
"7585","1366.991038666","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.251? Tell 192.168.43.100"
"7586","1366.991821662","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.226? Tell 192.168.43.100"
"7587","1366.992769086","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.224? Tell 192.168.43.100"
"7588","1366.993661373","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.215? Tell 192.168.43.100"
"7589","1366.994454754","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.23? Tell 192.168.43.100"
"7590","1366.995340885","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.132? Tell 192.168.43.100"
"7591","1366.996254341","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.246? Tell 192.168.43.100"
"7592","1367.193301352","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.232? Tell 192.168.43.100"
"7593","1367.194069753","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.211? Tell 192.168.43.100"
"7594","1367.194917005","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.166? Tell 192.168.43.100"
"7595","1367.195853834","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.155? Tell 192.168.43.100"
"7596","1367.196617201","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.148? Tell 192.168.43.100"
"7597","1367.197548804","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.12? Tell 192.168.43.100"
"7598","1367.198414897","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.191? Tell 192.168.43.100"
"7599","1367.199275596","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.179? Tell 192.168.43.100"
